1,2024-11-06,,Alcorn State,REG (Non-Conf),W,101,46,,37,72,.514,12,31,.387,25,41,.610,.597,15,18,.833,15,30,45,28,11,5,9,14,16,55,.291,7,21,.333,9,34,.265,.355,7,11,.636,9,15,24,7,8,4,17,15
2,2024-11-09,,Charlotte,REG (Non-Conf),W,103,74,,38,66,.576,7,22,.318,31,44,.705,.629,20,27,.741,15,20,35,24,12,3,7,21,25,52,.481,8,22,.364,17,30,.567,.558,16,22,.727,8,14,22,12,2,0,17,23
3,2024-11-13,,Westminster (UT),REG (Non-Conf),W,117,53,,42,66,.636,17,31,.548,25,35,.714,.765,16,22,.727,10,26,36,28,16,1,9,16,21,60,.350,6,15,.400,15,45,.333,.400,5,8,.625,12,14,26,17,3,2,21,16
4,2024-11-18,,Montana,REG (Non-Conf),W,95,83,,29,58,.500,9,20,.450,20,38,.526,.578,28,36,.778,10,21,31,9,11,3,12,22,32,62,.516,8,24,.333,24,38,.632,.581,11,20,.550,12,20,32,15,6,7,18,22
5,2024-11-22,N,Iowa,REG (Non-Conf),W,77,69,,30,65,.462,7,21,.333,23,44,.523,.515,10,16,.625,13,32,45,17,13,6,18,20,28,64,.438,5,26,.192,23,38,.605,.477,8,16,.500,6,20,26,19,11,8,16,18

6,2024-11-28,N,St. Bonaventure,NIT,W,72,67,,22,64,.344,6,28,.214,16,36,.444,.391,22,28,.786,16,26,42,14,7,3,8,12,26,61,.426,6,21,.286,20,40,.500,.475,9,15,.600,10,28,38,9,6,8,10,20
7,2024-11-29,N,North Texas,NIT,W,61,57,,20,46,.435,6,17,.353,14,29,.483,.500,15,21,.714,7,27,34,9,6,1,16,8,22,61,.361,7,30,.233,15,31,.484,.418,6,9,.667,10,17,27,11,12,5,9,17
8,2024-12-04,,Wyoming,REG (Conf),W,70,67,,23,56,.411,5,17,.294,18,39,.462,.455,19,26,.731,9,15,24,9,5,2,8,13,24,48,.500,12,26,.462,12,22,.545,.625,7,9,.778,2,21,23,15,5,4,9,21
9,2024-12-07,,Utah Tech,REG (Non-Conf),W,92,62,,32,65,.492,8,29,.276,24,36,.667,.554,20,26,.769,11,28,39,19,8,6,13,16,25,61,.410,8,31,.258,17,30,.567,.475,4,11,.364,8,19,27,20,6,2,14,21
10,2024-12-14,,South Florida,REG (Non-Conf),W,88,67,,32,64,.500,6,23,.261,26,41,.634,.547,18,21,.857,11,16,27,27,12,3,11,15,24,52,.462,7,19,.368,17,33,.515,.529,12,15,.800,10,18,28,14,8,3,21,18
11,2024-12-17,,UC San Diego,REG (Non-Conf),L,73,75,,24,60,.400,8,28,.286,16,32,.500,.467,17,24,.708,8,20,28,14,12,3,13,21,22,47,.468,8,27,.296,14,20,.700,.553,23,27,.852,3,27,30,10,10,2,15,20
12,2024-12-22,@,St. Mary's (CA),REG (Non-Conf),W,75,68,,30,51,.588,6,17,.353,24,34,.706,.647,9,11,.818,4,25,29,23,5,1,13,15,24,54,.444,10,25,.400,14,29,.483,.537,10,19,.526,9,16,25,20,9,0,12,15
13,2024-12-28,@,San Diego State,REG (Conf),W,67,66,,22,50,.440,8,28,.286,14,22,.636,.520,15,21,.714,4,22,26,16,12,1,15,24,20,52,.385,6,24,.250,14,28,.500,.442,20,22,.909,8,22,30,11,11,2,14,17
14,2024-12-31,@,Nevada,REG (Conf),W,69,64,,24,46,.522,8,20,.400,16,26,.615,.609,13,18,.722,4,22,26,18,10,4,13,16,24,57,.421,7,23,.304,17,34,.500,.482,9,12,.750,11,19,30,19,9,1,13,13
15,2025-01-04,,Fresno State,REG (Conf),W,89,83,,31,64,.484,9,26,.346,22,38,.579,.555,18,27,.667,10,24,34,22,11,4,10,17,29,60,.483,7,20,.350,22,40,.550,.542,18,26,.692,8,25,33,19,8,2,14,24
16,2025-01-07,@,San Jose State,REG (Conf),W,85,78,,34,66,.515,9,24,.375,25,42,.595,.583,8,16,.500,17,23,40,19,7,3,8,16,25,60,.417,14,33,.424,11,27,.407,.533,14,17,.824,10,19,29,20,4,2,10,15
17,2025-01-11,,Boise State,REG (Conf),W,81,79,,30,49,.612,11,21,.524,19,28,.679,.724,10,22,.455,3,17,20,18,0,3,6,16,27,51,.529,14,26,.538,13,25,.520,.667,11,17,.647,9,17,26,14,4,1,7,19
18,2025-01-15,@,UNLV,REG (Conf),L,62,65,,22,53,.415,10,26,.385,12,27,.444,.509,8,15,.533,10,22,32,19,1,0,12,20,24,59,.407,6,25,.240,18,34,.529,.458,11,17,.647,13,23,36,13,5,4,5,17
19,2025-01-22,,Nevada,REG (Conf),W,90,69,,33,56,.589,16,30,.533,17,26,.654,.732,8,9,.889,3,14,17,27,14,2,7,11,26,49,.531,9,21,.429,17,28,.607,.622,8,9,.889,5,20,25,20,6,1,17,10
20,2025-01-25,@,Air Force,REG (Conf),W,87,58,,30,56,.536,16,31,.516,14,25,.560,.679,11,13,.846,4,24,28,22,10,8,9,19,19,50,.380,5,20,.250,14,30,.467,.430,15,23,.652,7,19,26,13,7,5,14,12
